Input 1,Input 2,Input 3,Input 4,Input 5,Input 6,Input 7,Input 8,Input 9,Input 10,Input 11,Input 12,class
1.139,2.297,2.893,2.546,0.2502,0.09521,0.2258,0.1855,0.1477,0.9595,1.029,5.449,one
1.232,2.201,3.053,2.556,0.2869,0.09521,0.1721,0.1733,0.1855,0.9485,0.9229,5.616,one
1.25,2.307,2.981,2.361,-9999,0.06226,0.01831,0.1636,0.1636,1.064,0.9546,5.479,one
1.154,2.269,2.849,2.437,0.1648,-0.1062,0.0708,0.1746,0.2026,0.9753,0.9473,-9999,one
1.238,2.314,2.891,2.422,0.2612,0.09766,-0.01587,0.127,0.1428,0.9851,0.9802,4.951,one
1.219,2.384,3.024,2.487,0.271,0.2783,0.1965,0.009766,0.2734,1.1,0.9448,5.32,one
1.241,2.393,2.942,2.467,0.1562,0.2588,0.249,0.1648,0.3186,1.038,1.057,5.005,one
1.249,2.316,2.74,2.357,0.1685,0.1624,0.1501,0.26,0.2222,0.9717,0.9436,5.182,one
1.178,2.45,2.799,2.339,0.2039,0.08301,0.1318,0.0647,0.1404,0.9802,0.9949,5.602,one
1.201,2.474,3.022,2.509,0.1892,0.127,0.3528,0.2185,0.2307,1.05,1.01,5.662,one
1.287,2.205,2.876,2.545,0.1831,0.1318,0.2393,0.06714,0.3333,0.9631,0.9448,5.677,one
1.216,2.196,2.893,2.573,0.2747,0.1355,0.08301,0.06592,0.2368,0.9448,0.7043,4.91,one
1.151,2.411,2.783,2.521,0.1733,-0.1758,0.1917,0.1172,0.2405,1.077,1.051,5.171,one
1.129,2.266,2.706,2.61,0.3198,0.09399,0.08545,0.1489,0.199,0.9802,0.9912,5.256,one
1.216,2.288,2.87,2.572,0.2661,0.1807,0.2576,0.3113,0.2539,0.9692,1.085,5.316,one
1.184,2.556,2.905,2.506,0.2429,0.1782,0.2124,0.1575,0.2075,1.027,1.08,4.718,one
1.156,2.253,3.049,2.611,0.2258,0.2454,0.1379,0.1465,0.332,0.8899,0.9753,5.608,one
1.178,2.397,3.035,2.538,0.09399,0.2966,0.1514,0.1343,0.2026,0.9583,0.8057,5.553,one
1.145,2.333,2.976,2.614,0.188,0.1416,0.1868,0.09644,0.2246,0.9143,1.005,5.668,one
1.293,2.214,2.924,2.708,0.1404,0.2197,0.1428,0.1709,0.116,1.011,1.072,4.827,one
1.229,2.206,2.782,2.417,0.2344,0.08423,0.1013,0.07812,0.09155,1.01,1.055,5.571,one
1.178,2.406,3.08,2.687,0.2527,-0.09155,0.1782,0.2612,0.1709,1.222,1.116,5.422,one
1.201,2.244,2.828,2.588,0.1257,0.03418,0.003662,0.2234,0.2942,0.9839,0.9595,5.61,one
1.288,2.246,-9999,2.693,0.2417,0.08179,0.1611,0.1416,0.1453,0.8984,0.9094,4.952,one
1.289,2.371,2.827,2.773,0.2185,-0.08667,0.2039,0.04639,0.2234,0.929,1.072,5.115,one
1.273,2.264,2.781,2.708,0.1074,0.1453,0.2173,0.1721,0.2759,0.8667,0.957,4.767,one
1.245,2.18,2.855,2.844,0.2087,0.2075,0.3394,0.1514,0.3198,1.013,0.8691,5.71,one
1.304,2.354,2.764,2.815,0.1733,0.1538,0.07446,-0.009766,0.1416,0.9778,0.8643,5.135,one
1.266,2.294,2.854,2.786,0.3088,0.05981,0.2246,0.06714,0.2954,0.9802,0.9778,5.206,one
1.263,2.195,3.064,2.957,0.2234,0.2148,0.09888,0.1733,0.155,0.9595,1.066,5.521,one
1.26,2.338,2.808,2.762,0.2124,0.1099,0.1892,0.05127,0.321,1.005,0.8508,4.788,one
1.548,2.192,2.926,2.717,0.3259,0.1599,0.1501,0.1453,0.2148,1.014,0.8228,5.496,one
2.385,2.198,3.119,3.724,0.7214,0.1965,0.3149,0.2441,0.531,0.9387,0.9705,5.265,one
3.059,2.053,3.621,5.443,1.001,0.8081,0.5054,0.3552,0.719,0.9375,0.8899,5.16,one
3.533,1.93,4.855,5.397,1.2,1.376,0.6482,0.3552,0.99,0.9082,1.019,5.334,one
3.655,1.741,5.148,5.406,1.262,1.685,0.7312,0.3625,1.224,1.132,1.067,5.553,one
3.846,1.649,4.977,5.604,1.299,1.918,0.6897,0.4883,1.155,1.445,1.472,5.043,one
3.931,1.638,5.267,5.641,1.313,2.229,0.7825,0.293,1.29,1.77,1.692,5.209,one
3.958,1.611,5.162,5.698,1.453,2.034,0.6702,0.4639,1.37,2.307,1.951,4.749,one
4.181,1.429,5.411,5.656,1.442,2.198,0.7739,0.6201,1.45,2.952,1.982,5.082,one
3.851,1.362,5.58,5.881,1.469,2.28,0.8313,0.5957,1.404,3.74,2.194,5.162,one
4.106,1.47,5.58,5.66,1.42,2.239,0.7874,0.5188,1.417,3.942,2.24,4.758,one
3.966,1.372,5.476,5.612,1.422,2.305,0.7947,0.459,1.394,4.365,2.195,5.535,one
4.135,1.322,5.129,5.59,1.346,2.283,0.7202,0.5103,1.416,4.736,2.406,5.342,one
4.02,1.193,5.432,5.841,1.461,2.368,0.7812,0.5164,1.387,5.017,2.512,5.284,one
4.144,1.035,5.601,5.763,1.46,2.262,0.8655,0.4785,1.335,4.937,2.59,5.458,one
4,1.077,5.24,5.674,1.34,2.321,0.7947,0.4102,1.404,5.135,2.617,5.4,one
4.26,-9999,5.458,5.496,1.383,2.253,0.8069,0.3821,1.479,5.106,2.795,5.375,one
4.265,1.145,5.544,5.806,1.355,2.28,0.7251,0.3418,1.382,4.994,2.731,5.421,one
4.211,1.066,5.691,5.576,1.392,2.218,0.8862,0.5481,1.359,5.184,2.683,5.354,one
3.998,1.022,5.171,5.742,1.368,2.38,0.7056,0.4529,1.243,5.015,2.778,5.476,one
3.947,1.051,5.321,5.826,1.326,2.264,0.8057,0.5505,1.373,5.123,2.716,5.134,one
4.224,1.068,5.54,5.73,1.364,2.257,0.7214,0.498,1.453,5.215,2.733,5.161,one
3.976,1.061,5.122,5.8,1.39,2.283,-9999,0.4358,1.368,5.227,2.777,5.452,one
4.191,0.9778,5.31,5.581,1.256,2.136,0.8179,0.4285,1.205,5.2,2.726,5.391,one
3.962,1.077,5.569,5.802,1.384,2.234,0.6726,0.4089,1.465,5.131,2.842,5.509,one
3.995,1.051,5.448,5.458,1.273,2.344,0.6592,0.4675,1.425,4.933,2.999,4.832,one
3.96,0.8838,5.176,5.793,1.283,2.135,0.6921,0.5042,1.207,5.046,2.773,5.068,one
4.021,1.074,5.47,5.677,1.443,2.18,0.7007,0.448,1.292,4.972,2.784,5.199,one
4.207,1.001,5.278,5.837,1.262,2.181,0.7788,0.3589,1.346,4.966,2.947,5.62,one
4.136,1.101,5.608,5.519,1.3,2.136,0.7019,0.6531,1.296,5.165,2.784,5.366,one
3.888,0.8997,5.262,5.693,1.283,2.118,0.7849,0.5627,1.328,5.128,2.838,5.028,one
4,1.084,5.111,5.505,1.215,2.072,0.7422,0.5017,-9999,5.206,2.827,5.353,one
3.9,0.9216,5.178,5.461,-9999,2.295,0.7336,0.2075,1.265,5.049,2.783,5.222,one
4.087,1.075,5.278,5.575,1.281,2.048,0.7141,0.4309,1.318,5.089,2.853,5.505,one
3.978,-9999,5.691,5.625,1.219,2.107,0.7532,0.4431,1.381,5.021,2.755,5.392,one
4.103,1.027,5.33,5.505,1.244,2.015,0.7129,0.3699,1.273,5.154,2.915,5.52,one
4.161,1.049,5.311,5.22,1.215,2.031,0.6726,0.4419,1.204,5.175,2.719,5.092,one
3.894,1.003,5.667,5.713,1.16,2.052,0.6873,0.3821,1.266,5.077,2.744,4.963,one
3.976,0.9985,5.52,5.582,1.15,2.063,0.6396,0.2954,1.212,5.054,2.955,5.63,one
3.94,0.8582,5.044,5.413,1.075,1.763,0.6042,0.4285,1.149,5.054,2.813,5.166,one
3.787,0.9534,5.194,5.149,1.13,1.862,0.6702,0.4663,1.093,4.961,2.738,5.082,one
3.806,0.9851,4.954,5.435,1.141,1.906,0.6848,0.3552,1.161,5.026,2.7,4.843,one
3.834,0.8948,5.773,5.315,1.029,2.017,0.6006,0.4639,1.097,5.16,2.609,5.452,one
3.796,1.167,5.286,5.25,1.09,1.74,0.6982,0.4138,1.1,5.125,2.593,5.466,one
3.682,0.8813,5.222,5.543,1.01,1.967,0.6445,0.4175,1.119,5.192,2.654,5.667,one
3.751,1.005,5.283,5.476,1.018,1.898,0.7019,0.4358,1.113,5.024,2.539,4.803,one
3.866,0.9229,5.593,5.193,0.9521,1.87,0.509,0.3796,1.058,5.095,2.457,4.812,one
3.771,1.039,4.957,5.197,0.8618,1.838,0.5176,0.3918,1.102,5.098,2.643,5.397,one
3.89,0.918,5.134,4.994,1.086,1.748,0.5396,0.3589,0.9851,5.059,2.606,5.299,one
3.827,0.8411,-9999,5.238,0.9399,1.764,0.5566,0.3235,0.9424,5.017,2.694,5.552,one
3.669,1.029,5.195,5.344,0.9521,1.705,0.5273,0.3198,0.9302,5.117,2.516,5.327,one
3.589,0.9009,5.238,5.155,0.8325,-9999,0.5994,0.3894,0.9351,4.889,2.518,5.171,one
3.789,1.082,5.475,4.871,0.9033,1.542,0.5688,0.2332,1.08,4.945,2.385,5.35,one
3.556,0.8777,4.949,5.361,0.9045,1.633,0.5225,0.2197,1.036,5.007,2.231,5.42,one
3.589,0.9387,5.062,4.874,0.8936,1.79,0.5554,0.4248,1.069,5.039,2.444,5.667,one
3.551,0.9546,5.602,4.773,0.896,1.597,0.4541,0.293,0.9009,5.131,2.551,5.449,one
3.469,0.9216,5.625,4.797,0.8008,1.525,0.553,0.1819,0.7971,5.052,2.368,4.686,one
3.7,0.8252,5.507,4.753,0.7324,1.417,0.4541,0.3491,0.9131,5.063,2.406,5.352,one
3.531,1.016,5.375,5.055,0.7434,1.464,0.4358,0.3552,0.7971,5.072,2.489,5.692,one
1.361,1.914,3.063,2.565,0.1831,0.1062,0.2576,0.1672,0.08545,0.9448,0.9509,5.693,one
1.39,1.924,2.896,2.423,0.2185,0.188,0.1111,0.07935,0.1892,0.9216,0.9912,5.641,one
1.404,1.907,2.953,2.278,0.1953,0.07202,0.2625,0.1013,0.2808,1.023,0.9277,5.042,one
1.473,1.816,3.213,2.388,0.3198,0.3784,0.06958,-0.002441,0.1953,0.9155,1.039,5.499,one
1.306,1.687,3.234,2.6,0.2698,0.188,0.02808,0.07324,0.3699,0.8936,1.044,4.865,one
1.553,1.808,3.103,2.679,0.1697,0.1526,0.271,0.1453,0.1904,0.918,0.9277,5.222,one
1.276,1.945,3.198,2.645,0.1294,0.2173,0.2539,0.1367,0.2222,0.9216,0.9973,5.675,one
1.51,1.765,3.203,2.517,0.1636,-0.05859,0.1917,0.1514,0.166,0.9863,0.9778,5.078,one
1.321,1.888,3.087,2.588,0.1465,0.04639,0.2612,0.2454,0.2222,0.9888,0.9985,5.684,one
1.448,1.938,3.215,2.557,0.2136,-0.1514,0.2698,0.1367,0.2527,0.9424,0.9888,4.885,one
1.37,1.893,2.976,2.483,0.2734,0.2893,0.144,0.1355,0.1819,1.023,1.016,4.971,one
1.228,1.882,3.187,2.451,0.387,0.1807,0.144,0.2588,0.1306,0.9888,1.079,4.885,one
1.307,1.82,3.201,2.628,0.2832,0.2295,0.1758,0.05249,0.1611,0.9888,1.067,5.176,one
1.366,1.897,3.085,2.31,0.2039,0.1575,0.1941,0.08179,0.1636,0.9143,0.9143,5.127,one
1.365,2.069,2.991,2.637,0.1892,0.2686,0.2136,0.1392,0.1648,1.053,0.9058,5.449,one
1.327,1.941,3.197,2.491,0.1013,0.2087,0.1685,0.1465,0.1807,0.9338,0.957,5.564,one
1.324,1.733,3.002,2.727,0.2148,0.1489,0.116,0.09644,0.2417,0.9619,0.9766,5.693,one
1.426,1.99,2.933,2.561,0.09399,0.2612,0.1807,0.144,0.199,0.9558,0.9119,5.342,one
1.24,1.964,3.093,2.546,0.2063,0.166,0.155,0.155,0.127,0.9607,1.017,5.499,one
1.349,1.981,-9999,2.605,0.1221,0.166,0.1819,0.1636,0.3796,0.9192,1.031,4.839,one
1.359,2.007,3.015,2.667,0.3381,0.2332,0.1489,0.08545,0.1135,0.9387,0.918,5.447,one
1.461,2.024,3.203,2.681,0.3113,0.2734,0.1416,0.1392,0.2661,1.075,0.9875,5.166,one
1.447,1.868,3.174,2.418,0.2844,0.2332,0.02686,0.07202,0.188,0.9106,1.068,5.592,one
1.294,1.636,3.073,2.678,0.2759,0.3162,0.1416,0.09766,0.2563,1.071,1.093,5.685,one
1.299,1.832,3.224,2.594,0.188,0.08545,0.2319,0.1709,0.2783,1.034,0.7678,5.343,one
1.342,1.984,3.025,2.676,0.2173,0.1501,0.1562,0.07812,-9999,1.039,1.028,5.609,one
1.342,1.897,3.021,2.52,0.2002,0.177,0.2014,0.1721,0.1782,0.9619,0.9399,5.674,one
1.418,1.93,3.208,2.515,0.238,0.1733,0.1855,0.05493,0.2502,0.863,0.9351,5.422,one
1.346,1.86,3.25,2.494,0.2771,0.1257,0.1904,0.1038,0.105,0.9717,0.9729,4.781,one
1.29,1.844,3.148,2.604,0.1404,0.1831,0.1172,0.08667,0.144,1.016,0.8899,5.302,one
1.166,1.993,3.036,2.507,0.1221,0.01831,0.1086,0.105,0.2795,0.946,1.016,5.638,one
1.377,1.942,3.093,2.517,0.2795,0.1416,0.1282,0.1465,0.2087,0.9302,0.9595,-9999,one
1.41,1.989,2.883,2.717,0.3491,0.1978,0.1208,0.1672,-0.06226,1.168,0.9387,4.901,one
